Frequency_Hz,Output_Voltage_V
10.000000,4.990159523
30.101010,4.912904133
50.202020,4.768407207
70.303030,4.573658711
90.404040,4.347574962
110.505051,4.107082132
130.606061,3.865159755
150.707071,3.630575323
170.808081,3.408546237
190.909091,3.201682159
211.010101,3.010853684
231.111111,2.835862345
251.212121,2.675907566
271.313131,2.529890617
291.414141,2.396602000
311.515152,2.274830972
331.616162,2.163425381
351.717172,2.061320936
371.818182,1.967552307
391.919192,1.881253857
412.020202,1.801654797
432.121212,1.728071639
452.222222,1.659899645
472.323232,1.596604197
492.424242,1.537712611
512.525253,1.482806633
532.626263,1.431515705
552.727273,1.383511002
572.828283,1.338500200
592.929293,1.296222910
613.030303,1.256446710
633.131313,1.218963700
653.232323,1.183587514
673.333333,1.150150731
693.434343,1.118502627
713.535354,1.088507222
733.636364,1.060041586
753.737374,1.032994360
773.838384,1.007264464
793.939394,0.982759975
814.040404,0.959397137
834.141414,0.937099497
854.242424,0.915797144
874.343434,0.895426038
894.444444,0.875927421
914.545455,0.857247291
934.646465,0.839335941
954.747475,0.822147548
974.848485,0.805639806
994.949495,0.789773599
1015.050505,0.774512713
1035.151515,0.759823574
1055.252525,0.745675015
1075.353535,0.732038068
1095.454545,0.718885773
1115.555556,0.706193013
1135.656566,0.693936357
1155.757576,0.682093927
1175.858586,0.670645266
1195.959596,0.659571233
1216.060606,0.648853895
1236.161616,0.638476436
1256.262626,0.628423073
1276.363636,0.618678974
1296.464646,0.609230194
1316.565657,0.600063608
1336.666667,0.591166849
1356.767677,0.582528259
1376.868687,0.574136837
1396.969697,0.565982195
1417.070707,0.558054512
1437.171717,0.550344504
1457.272727,0.542843380
1477.373737,0.535542813
1497.474747,0.528434913
1517.575758,0.521512194
1537.676768,0.514767550
1557.777778,0.508194236
1577.878788,0.501785836
1597.979798,0.495536254
1618.080808,0.489439686
1638.181818,0.483490607
1658.282828,0.477683753
1678.383838,0.472014108
1698.484848,0.466476887
1718.585859,0.461067523
1738.686869,0.455781657
1758.787879,0.450615126
1778.888889,0.445563949
1798.989899,0.440624321
1819.090909,0.435792601
1839.191919,0.431065305
1859.292929,0.426439096
1879.393939,0.421910777
1899.494949,0.417477286
1919.595960,0.413135684
1939.696970,0.408883153
1959.797980,0.404716990
1979.898990,0.400634598
2000.000000,0.396633484
